ResourceTypeAcronym,AttributeName,InstanceName,AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,YearType,YearMonth,TimeSeriesValueID,CountDays,CalenderYear,CumulativeMonthly
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,05/1943,37994,31,1943-05-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,06/1943,38024,30,1943-06-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,07/1943,38055,31,1943-07-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,08/1943,38086,31,1943-08-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,09/1943,38116,30,1943-09-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,10/1943,38147,31,1943-10-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,11/1943,38177,30,1943-11-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,12/1943,38208,31,1943-12-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,01/1944,38239,31,1944-01-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,02/1944,38268,29,1944-02-29,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,03/1944,38299,31,1944-03-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,04/1944,38329,30,1944-04-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,05/1944,38360,31,1944-05-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,06/1944,38390,30,1944-06-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,07/1944,38421,31,1944-07-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,08/1944,38452,31,1944-08-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,09/1944,38482,30,1944-09-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,10/1944,38513,31,1944-10-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,11/1944,38543,30,1944-11-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,12/1944,38574,31,1944-12-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,01/1945,38605,31,1945-01-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,02/1945,38633,28,1945-02-28,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,03/1945,38664,31,1945-03-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,04/1945,38694,30,1945-04-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,05/1945,38725,31,1945-05-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,06/1945,38755,30,1945-06-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,07/1945,38786,31,1945-07-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,08/1945,38817,31,1945-08-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,09/1945,38847,30,1945-09-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,10/1945,38878,31,1945-10-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,11/1945,38908,30,1945-11-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,12/1945,38939,31,1945-12-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,01/1946,38970,31,1946-01-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,02/1946,38998,28,1946-02-28,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,03/1946,39029,31,1946-03-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,04/1946,39059,30,1946-04-30,
